Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,10.810000,11.140000,10.470000,10.730000,10.730000,2575200
2023-01-04,10.980000,11.180000,10.570000,10.900000,10.900000,3561300
2023-01-05,9.710000,10.010000,9.435000,9.850000,9.850000,4030100
2023-01-06,9.890000,9.935000,9.215000,9.720000,9.720000,4199800
2023-01-09,9.950000,10.530000,9.920000,10.180000,10.180000,3275600
2023-01-10,10.070000,10.370000,9.950000,10.370000,10.370000,3943900
2023-01-11,10.400000,10.780000,10.300000,10.760000,10.760000,2544500
2023-01-12,10.830000,10.890000,10.300000,10.680000,10.680000,1727000
2023-01-13,10.440000,10.905000,10.332000,10.810000,10.810000,1345500
2023-01-17,10.790000,11.080000,10.440000,10.900000,10.900000,2863100
2023-01-18,11.040000,11.225000,10.655000,10.700000,10.700000,1975600
2023-01-19,10.402000,10.620000,10.085000,10.180000,10.180000,1856500
2023-01-20,10.270000,10.950000,10.130000,10.940000,10.940000,1960100
2023-01-23,11.020000,11.990000,10.955000,11.980000,11.980000,2707800
2023-01-24,11.840000,12.190000,11.720000,11.900000,11.900000,2775700
2023-01-25,11.500000,11.910000,11.005000,11.820000,11.820000,1904200
2023-01-26,12.220000,12.275000,11.765000,11.900000,11.900000,1905800
2023-01-27,11.760000,12.675000,11.760000,12.590000,12.590000,2602600
2023-01-30,12.200000,12.485000,11.810000,12.210000,12.210000,2764100
2023-01-31,12.300000,12.710000,12.175000,12.700000,12.700000,2207100
2023-02-01,12.760000,13.360000,12.435000,13.360000,13.360000,3002900
2023-02-02,13.960000,14.525000,13.480000,14.190000,14.190000,5440900
2023-02-03,13.490000,14.045000,13.170000,13.220000,13.220000,2688500
2023-02-06,12.940000,13.140000,12.493000,12.600000,12.600000,3526800
2023-02-07,12.580000,12.930000,12.345000,12.850000,12.850000,2901900
2023-02-08,12.750000,13.125000,12.420000,12.680000,12.680000,7109300
2023-02-09,17.270000,17.379999,16.049999,16.110001,16.110001,14681600
2023-02-10,15.710000,16.139999,15.140000,15.290000,15.290000,5111600
2023-02-13,15.390000,16.108999,14.385000,15.860000,15.860000,4817600
2023-02-14,15.590000,16.219999,15.170000,15.970000,15.970000,3283200
2023-02-15,15.940000,17.014999,15.790000,16.870001,16.870001,3881500
2023-02-16,16.209999,16.584999,15.590000,15.600000,15.600000,3155900
2023-02-17,15.450000,15.590000,14.930000,14.990000,14.990000,2701100
2023-02-21,14.620000,14.790000,14.190000,14.200000,14.200000,2920700
2023-02-22,14.200000,15.310000,14.110000,15.170000,15.170000,3225900
2023-02-23,14.650000,15.050000,14.120000,14.490000,14.490000,3350600
2023-02-24,14.060000,14.505000,14.010000,14.210000,14.210000,3171000
2023-02-27,14.450000,14.560000,13.370000,13.410000,13.410000,2751500
2023-02-28,13.340000,13.715000,13.290000,13.500000,13.500000,2297100
2023-03-01,13.500000,13.590000,13.240000,13.380000,13.380000,1817800
